index,市区町村コード,住所,種類,面積（㎡）,築年数,最寄駅：距離（分）,取引価格（総額）,divergence,ratio,signed_pct,direction,band,quantile_median,empirical_median,has_overlap,n_used,flag
10103,13107,東京都墨田区八広,中古マンション等,40,47.0,12.0,15000000,0.3963877098722425,0.6036122901277575,-39.63877098722425,安値,中度,16901144.12357721,28000000.0,True,30,要人手査定
13044,13109,東京都品川区大井,中古マンション等,80,19.0,6.0,110000000,0.39636251213670093,0.6036374878632991,-39.63625121367009,安値,中度,96581998.05812785,160000000.0,True,30,要人手査定
30257,13121,東京都足立区綾瀬,中古マンション等,70,13.0,4.0,67000000,0.3963049902548215,1.3963049902548215,39.63049902548215,高値,中度,67720792.02735884,48500000.0,True,30,要人手査定
20096,13112,東京都世田谷区桜新町,中古マンション等,30,21.0,5.0,45000000,0.3962944357001933,1.3962944357001934,39.629443570019326,高値,中度,38398096.981755316,27500000.0,True,30,要人手査定
16011,13111,東京都大田区池上,中古マンション等,15,43.0,9.0,7500000,0.3962574797656571,0.6037425202343429,-39.62574797656571,安値,中度,7244910.242812115,12000000.0,True,30,要人手査定
358,13101,東京都千代田区飯田橋,中古マンション等,40,41.0,3.0,45000000,0.39621079395103515,1.396210793951035,39.621079395103514,高値,中度,54452220.96409037,39000000.0,True,30,要人手査定
30642,13121,東京都足立区千住龍田町,中古マンション等,75,23.0,13.0,53000000,0.39618374234203524,1.3961837423420351,39.61837423420352,高値,中度,53054982.20899734,38000000.0,True,30,要人手査定
26125,13117,東京都北区豊島,中古マンション等,55,46.0,21.0,20000000,0.39616081367751416,0.6038391863224859,-39.61608136775141,安値,中度,21134371.521287005,35000000.0,True,30,要人手査定
175,13101,東京都千代田区神田神保町,中古マンション等,35,26.0,1.0,30000000,0.39613857254259566,1.3961385725425957,39.613857254259564,高値,中度,48864850.03899085,35000000.0,True,30,要人手査定
37911,13213,東京都東村山市栄町,中古マンション等,25,38.0,3.0,6300000,0.3959137992017834,0.6040862007982166,-39.59137992017834,安値,中度,6644948.208780383,11000000.0,True,30,要人手査定
15380,13110,東京都目黒区中目黒,中古マンション等,60,58.0,7.0,80000000,0.39582666547476636,1.3958266654747664,39.582666547476634,高値,中度,71885073.27195047,51500000.0,True,30,要人手査定
18863,13112,東京都世田谷区太子堂,中古マンション等,55,36.0,9.0,68000000,0.3956787734822557,1.3956787734822558,39.56787734822557,高値,中度,62107705.41996038,44500000.0,True,30,要人手査定
5212,13104,東京都新宿区中落合,中古マンション等,15,38.0,5.0,11000000,0.3956515163297054,0.6043484836702946,-39.56515163297054,安値,中度,10273924.222395008,17000000.0,True,30,要人手査定
20462,13113,東京都渋谷区神宮前,中古マンション等,55,17.0,6.0,71000000,0.39565113578818334,0.6043488642118167,-39.565113578818334,安値,中度,75543608.02647708,125000000.0,True,30,要人手査定
2698,13103,東京都港区海岸,中古マンション等,55,26.0,4.0,80000000,0.39550662889048843,0.6044933711095116,-39.550662889048844,安値,中度,72539204.53314139,120000000.0,True,30,要人手査定
34076,13201,東京都八王子市椚田町,中古マンション等,50,39.0,4.0,9500000,0.39531179057567367,0.6046882094243263,-39.531179057567364,安値,中度,10279699.560213547,17000000.0,True,30,要人手査定
29277,13120,東京都練馬区豊玉北,中古マンション等,85,25.0,4.0,110000000,0.3950991027611655,1.3950991027611654,39.50991027611655,高値,中度,89286342.57671459,64000000.0,True,30,要人手査定
30133,13121,東京都足立区綾瀬,中古マンション等,80,39.0,6.0,38000000,0.3950425089538156,1.3950425089538157,39.50425089538156,高値,中度,39061190.25070684,28000000.0,True,30,要人手査定
11571,13108,東京都江東区塩浜,中古マンション等,80,16.0,7.0,75000000,0.39495518709071115,0.6050448129092889,-39.49551870907111,安値,中度,81681049.742754,135000000.0,True,30,要人手査定
3008,13103,東京都港区六本木,中古マンション等,75,26.0,2.0,280000000,0.39490081755709244,1.3949008175570925,39.49008175570924,高値,中度,237133138.98470572,170000000.0,True,30,要人手査定
38059,13214,東京都国分寺市南町,中古マンション等,20,21.0,4.0,17000000,0.394861816791646,0.605138183208354,-39.4861816791646,安値,中度,16641300.038229736,27500000.0,True,30,要人手査定
33616,13201,東京都八王子市別所,中古マンション等,115,17.0,14.0,52000000,0.3948165863506136,1.3948165863506137,39.481658635061365,高値,中度,53700438.57449862,38500000.0,True,30,要人手査定
38212,13215,東京都国立市富士見台,中古マンション等,60,2.0,5.0,52000000,0.39474211980854945,1.3947421198085495,39.474211980854946,高値,中度,59973911.15176763,43000000.0,True,30,要人手査定
30196,13121,東京都足立区千住元町,中古マンション等,80,12.0,20.0,50000000,0.3944514098296306,1.3944514098296306,39.44514098296306,高値,中度,51594702.163696334,37000000.0,True,30,要人手査定
33268,13123,東京都江戸川区西葛西,中古マンション等,65,43.0,4.0,50000000,0.3943918536955759,1.394391853695576,39.43918536955759,高値,中度,48803714.879345156,35000000.0,True,30,要人手査定
13292,13109,東京都品川区西五反田,中古マンション等,60,2.0,5.0,180000000,0.39437418375317373,1.3943741837531738,39.43741837531737,高値,中度,153381160.2128491,110000000.0,True,30,要人手査定
5314,13104,東京都新宿区矢来町,中古マンション等,40,15.0,3.0,77000000,0.39431890953399024,1.3943189095339903,39.43189095339903,高値,中度,76687540.02436946,55000000.0,True,30,要人手査定
34513,13202,東京都立川市西砂町,中古マンション等,75,29.0,16.0,14000000,0.3943089176810413,0.6056910823189587,-39.43089176810413,安値,中度,16656504.763771364,27500000.0,True,30,要人手査定
34992,13204,東京都三鷹市下連雀,中古マンション等,40,23.0,15.0,30000000,0.3942550679644863,0.6057449320355137,-39.42550679644863,安値,中度,27864266.87363363,46000000.0,True,30,要人手査定
18282,13112,東京都世田谷区南烏山,中古マンション等,45,42.0,6.0,25000000,0.3942149706924729,0.6057850293075271,-39.421497069247295,安値,中度,26048756.260223664,43000000.0,True,30,要人手査定
12647,13108,東京都江東区千石,中古マンション等,80,26.0,14.0,93000000,0.3941853705439351,1.394185370543935,39.41853705439351,高値,中度,89227863.71481185,64000000.0,True,30,要人手査定
